order_id,order_date,month_num,month_name,quarter,region,store_id,customer_id,category,sub_category,sku,quantity,unit_price,unit_cost,discount_pct,revenue,cogs,profit,payment_method,sales_channel
ORD-100001,2023-05-21,5,May,Q2,South,STR-SO-07,CUST-87397,Sports,Cricket,SKU-CRI-001,5,2110.16,1369.17,15,8968.18,6845.85,2122.33,EMI,Online
ORD-100002,2023-02-17,2,February,Q1,North,STR-NO-04,CUST-64987,Sports,Cricket,SKU-CRI-001,17,1905.38,1167.13,10,29152.31,19841.21,9311.1,Credit Card,App
ORD-100003,2023-05-23,5,May,Q2,East,STR-EA-03,CUST-46421,Clothing,Footwear,SKU-FTW-003,1,4104.32,2687.83,0,4104.32,2687.83,1416.49,Cash,Online
ORD-100004,2023-02-22,2,February,Q1,North,STR-NO-08,CUST-15695,Groceries,Snacks,SKU-SNK-002,4,73.59,40.25,0,294.36,161.0,133.36,EMI,Online
ORD-100005,2023-07-13,7,July,Q3,East,STR-EA-02,CUST-35203,Sports,Swimming,SKU-SWM-001,10,814.64,630.87,10,7331.76,6308.7,1023.06,Debit Card,App
ORD-100006,2023-05-29,5,May,Q2,East,STR-EA-06,CUST-93320,Groceries,Dairy,SKU-DAI-001,8,493.05,337.22,5,3747.18,2697.76,1049.42,Debit Card,In-Store
ORD-100007,2023-07-01,7,July,Q3,North,STR-NO-03,CUST-93227,Clothing,Women Wear,SKU-WMW-002,9,1284.68,970.28,15,9827.8,8732.52,1095.28,UPI,App
ORD-100008,2023-03-25,3,March,Q1,West,STR-WE-06,CUST-99733,Beauty,Personal Care,SKU-PRC-001,9,1467.44,1052.41,15,11225.92,9471.69,1754.23,EMI,In-Store
ORD-100009,2023-01-17,1,January,Q1,North,STR-NO-08,CUST-37869,Furniture,Sofa,SKU-SOF-001,13,40837.15,21328.84,0,530882.95,277274.92,253608.03,EMI,Online
ORD-100010,2023-03-15,3,March,Q1,North,STR-NO-10,CUST-66155,Furniture,Chair,SKU-CHR-002,8,15449.37,10059.81,10,111235.46,80478.48,30756.98,Debit Card,App
ORD-100011,2023-04-23,4,April,Q2,East,STR-EA-03,CUST-30033,Sports,Badminton,SKU-BAD-002,5,7979.14,4688.32,0,39895.7,23441.6,16454.1,UPI,Online
ORD-100012,2023-07-17,7,July,Q3,South,STR-SO-09,CUST-99353,Electronics,Tablet,SKU-TAB-001,15,33621.45,24522.38,10,453889.57,367835.7,86053.87,UPI,Online
ORD-100013,2023-02-27,2,February,Q1,East,STR-EA-09,CUST-33416,Clothing,Kids Wear,SKU-KDW-002,6,1679.45,961.49,15,8565.19,5768.94,2796.25,Debit Card,App
ORD-100014,2023-11-24,11,November,Q4,North,STR-NO-01,CUST-79514,Furniture,Sofa,SKU-SOF-002,7,26860.16,13195.5,20,150416.9,92368.5,58048.4,Credit Card,App
ORD-100015,2023-09-08,9,September,Q3,South,STR-SO-04,CUST-17592,Beauty,Personal Care,SKU-PRC-002,12,205.51,160.67,20,1972.9,1928.04,44.86,Debit Card,In-Store
ORD-100016,2023-02-13,2,February,Q1,North,STR-NO-08,CUST-96474,Beauty,Personal Care,SKU-PRC-001,3,2235.94,1596.59,10,6037.04,4789.77,1247.27,Credit Card,In-Store
ORD-100017,2023-05-16,5,May,Q2,North,STR-NO-07,CUST-50857,Furniture,Wardrobe,SKU-WRD-001,20,27800.67,15686.45,0,556013.4,313729.0,242284.4,EMI,In-Store
